BuildingNumber_original;BuildingNumber;City;CompetentAuthorityName;CountryName;FacilityID;FacilityName;MainActivityIndicator;MainIAActivityCode;MainIAActivityName;MainIASectorName;MainIASubActivityName;NationalID;PostalCode;ReportingYear;StreetName;Lat;Long;Number of Records;url_1;address_full;url_1_full_csv;Unnamed: 22;addresseid;matrikelnr;ejerlavkode;komkode;ESREjdNr;registreretareal_plot
1;1;Aalborg Øst;Miljøstyrelsen;Denmark;16575;Danish Crown A/S;True;8.(a);Slaughterhouses;Animal and vegetable products from the food and beverage sector;;1219;9220;2013;Svanningevej;57,03633072;10,02395307;1;https://dawa.aws.dk/adresser?q=;Svanningevej 1, 9220 Aalborg Øst;https://dawa.aws.dk/adresser?q=Svanningevej 1, 9220 Aalborg Øst;https://dawa.aws.dk/adresser?q=Svanningevej 1, 9220 Aalborg Øst;c005e111-9ae1-45f3-a75d-d3853fa003a1;6b;2005057;0851;231021;46767
1;1;Aalborg Øst;Miljøstyrelsen;Denmark;16575;Danish Crown A/S;True;8.(a);Slaughterhouses;Animal and vegetable products from the food and beverage sector;;1219;9220;2014;Svanningevej;57,03633072;10,02395307;1;https://dawa.aws.dk/adresser?q=;Svanningevej 1, 9220 Aalborg Øst;https://dawa.aws.dk/adresser?q=Svanningevej 1, 9220 Aalborg Øst;https://dawa.aws.dk/adresser?q=Svanningevej 1, 9220 Aalborg Øst;c005e111-9ae1-45f3-a75d-d3853fa003a1;6b;2005057;0851;231021;46767
1;1;Aalborg Øst;Miljøstyrelsen;Denmark;16575;Danish Crown A/S;True;8.(a);Slaughterhouses;Animal and vegetable products from the food and beverage sector;;1219;9220;2015;Svanningevej;57,03633072;10,02395307;1;https://dawa.aws.dk/adresser?q=;Svanningevej 1, 9220 Aalborg Øst;https://dawa.aws.dk/adresser?q=Svanningevej 1, 9220 Aalborg Øst;https://dawa.aws.dk/adresser?q=Svanningevej 1, 9220 Aalborg Øst;c005e111-9ae1-45f3-a75d-d3853fa003a1;6b;2005057;0851;231021;46767
1;1;Aalborg Øst;Miljøstyrelsen;Denmark;16575;Danish Crown A/S;True;8.(a);Slaughterhouses;Animal and vegetable products from the food and beverage sector;;1219;9220;2016;Svanningevej;57,03633072;10,02395307;1;https://dawa.aws.dk/adresser?q=;Svanningevej 1, 9220 Aalborg Øst;https://dawa.aws.dk/adresser?q=Svanningevej 1, 9220 Aalborg Øst;https://dawa.aws.dk/adresser?q=Svanningevej 1, 9220 Aalborg Øst;c005e111-9ae1-45f3-a75d-d3853fa003a1;6b;2005057;0851;231021;46767
1;1;Aalborg Øst;miljøstyrelsen;Denmark;16575;Danish Crown A/S;True;8.(a);Slaughterhouses;Animal and vegetable products from the food and beverage sector;;1219;9220;2017;Svanningevej;57,03633072;10,02395307;1;https://dawa.aws.dk/adresser?q=;Svanningevej 1, 9220 Aalborg Øst;https://dawa.aws.dk/adresser?q=Svanningevej 1, 9220 Aalborg Øst;https://dawa.aws.dk/adresser?q=Svanningevej 1, 9220 Aalborg Øst;c005e111-9ae1-45f3-a75d-d3853fa003a1;6b;2005057;0851;231021;46767
1;1;Aarhus C;Miljøstyrelsen;Denmark;237679;AarhusKarlshamn Denmark A/S;True;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;9576;8000;2010;Slipvej;56,14865504;10,20360923;1;https://dawa.aws.dk/adresser?q=;Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C;a93acce7-1720-44f5-b985-5c02e9d0b965;2175;2006351;0751;169701;18032
1;1;Aarhus C;Miljøstyrelsen;Denmark;237679;AarhusKarlshamn Denmark A/S;True;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;9576;8000;2011;Slipvej;56,14865504;10,20360923;1;https://dawa.aws.dk/adresser?q=;Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C;a93acce7-1720-44f5-b985-5c02e9d0b965;2175;2006351;0751;169701;18032
1;1;Aarhus C;Miljøstyrelsen;Denmark;237679;AarhusKarlshamn Denmark A/S;True;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;9576;8000;2012;Slipvej;56,14865504;10,20360923;1;https://dawa.aws.dk/adresser?q=;Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C;a93acce7-1720-44f5-b985-5c02e9d0b965;2175;2006351;0751;169701;18032
1;1;Aarhus C;Miljøstyrelsen;Denmark;237679;AarhusKarlshamn Denmark A/S;True;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;9576;8000;2013;Slipvej;56,14865504;10,20360923;1;https://dawa.aws.dk/adresser?q=;Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C;a93acce7-1720-44f5-b985-5c02e9d0b965;2175;2006351;0751;169701;18032
1;1;Aarhus C;Miljøstyrelsen;Denmark;237679;AarhusKarlshamn Denmark A/S;True;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;9576;8000;2014;Slipvej;56,14865504;10,20360923;1;https://dawa.aws.dk/adresser?q=;Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C;a93acce7-1720-44f5-b985-5c02e9d0b965;2175;2006351;0751;169701;18032
1;1;Aarhus C;Miljøstyrelsen;Denmark;237679;AarhusKarlshamn Denmark A/S;True;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;9576;8000;2015;Slipvej;56,14865504;10,20360923;1;https://dawa.aws.dk/adresser?q=;Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C;a93acce7-1720-44f5-b985-5c02e9d0b965;2175;2006351;0751;169701;18032
1;1;Aarhus C;Miljøstyrelsen;Denmark;237679;AarhusKarlshamn Denmark A/S;True;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;9576;8000;2016;Slipvej;56,14865504;10,20360923;1;https://dawa.aws.dk/adresser?q=;Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C;a93acce7-1720-44f5-b985-5c02e9d0b965;2175;2006351;0751;169701;18032
1;1;Aarhus C;miljøstyrelsen;Denmark;237679;AarhusKarlshamn Denmark A/S;True;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;9576;8000;2017;Slipvej;56,14865504;10,20360923;1;https://dawa.aws.dk/adresser?q=;Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C;a93acce7-1720-44f5-b985-5c02e9d0b965;2175;2006351;0751;169701;18032
1a;1a;Agerskov;Miljøstyrelsen;Denmark;189605;CARL JOHAN SCHMIDT;True;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;7413;6534;2009;Nitriskærvej;55,13733149;9,126416001;1;https://dawa.aws.dk/adresser?q=;Nitriskærvej 1, 6534 Agerskov;https://dawa.aws.dk/adresser?q=Nitriskærvej 1, 6534 Agerskov;https://dawa.aws.dk/adresser?q=Nitriskærvej 1, 6534 Agerskov;0a3f50b7-33cb-32b8-e044-0003ba298018;15;1450151;0550;19382;343337
1a;1a;Agerskov;Miljøstyrelsen;Denmark;189605;CARL JOHAN SCHMIDT;True;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;7413;6534;2010;Nitriskærvej;55,13733149;9,126416001;1;https://dawa.aws.dk/adresser?q=;Nitriskærvej 1, 6534 Agerskov;https://dawa.aws.dk/adresser?q=Nitriskærvej 1, 6534 Agerskov;https://dawa.aws.dk/adresser?q=Nitriskærvej 1, 6534 Agerskov;0a3f50b7-33cb-32b8-e044-0003ba298018;15;1450151;0550;19382;343337
1a;1a;Agerskov;Miljøstyrelsen;Denmark;189605;CARL JOHAN SCHMIDT;True;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;7413;6534;2011;Nitriskærvej;55,13733148;9,126416001;1;https://dawa.aws.dk/adresser?q=;Nitriskærvej 1, 6534 Agerskov;https://dawa.aws.dk/adresser?q=Nitriskærvej 1, 6534 Agerskov;https://dawa.aws.dk/adresser?q=Nitriskærvej 1, 6534 Agerskov;0a3f50b7-33cb-32b8-e044-0003ba298018;15;1450151;0550;19382;343337
1a;1a;Agerskov;Miljøstyrelsen;Denmark;189605;CARL JOHAN SCHMIDT;True;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;7413;6534;2012;Nitriskærvej;55,13733148;9,126416001;1;https://dawa.aws.dk/adresser?q=;Nitriskærvej 1, 6534 Agerskov;https://dawa.aws.dk/adresser?q=Nitriskærvej 1, 6534 Agerskov;https://dawa.aws.dk/adresser?q=Nitriskærvej 1, 6534 Agerskov;0a3f50b7-33cb-32b8-e044-0003ba298018;15;1450151;0550;19382;343337
1;1;Århus C;Miljøstyrelsen / Danish Environmental Protection Agency;Denmark;11082;Royal unibrew A/S, CERES BRYGGERIERNE;True;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;871;8000;2007;Ceres Alle;56,15679347;10,19180443;1;https://dawa.aws.dk/adresser?q=;Ceres Alle 1, 8000 Århus C;https://dawa.aws.dk/adresser?q=Ceres Alle 1, 8000 Århus C;https://dawa.aws.dk/adresser?q=Ceres Alle 1, 8000 Århus C;5ee2aa5c-53f3-441c-b7c7-4393d1055551;4z;2006353;0751;72961;5314
1;1;Århus C;Miljøstyrelsen;Denmark;11082;Royal unibrew A/S, CERES BRYGGERIERNE;True;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;871;8000;2008;Ceres Alle;56,15679347;10,19180443;1;https://dawa.aws.dk/adresser?q=;Ceres Alle 1, 8000 Århus C;https://dawa.aws.dk/adresser?q=Ceres Alle 1, 8000 Århus C;https://dawa.aws.dk/adresser?q=Ceres Alle 1, 8000 Århus C;5ee2aa5c-53f3-441c-b7c7-4393d1055551;4z;2006353;0751;72961;5314
1;1;Bedsted Thy;Miljøstyrelsen;Denmark;209691;Søren Leegaard Riis;True;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;9054;7755;2008;Nørgårdsvej;56,787411;8,431641121;1;https://dawa.aws.dk/adresser?q=;Nørgårdsvej 1, 7755 Bedsted Thy;https://dawa.aws.dk/adresser?q=Nørgårdsvej 1, 7755 Bedsted Thy;https://dawa.aws.dk/adresser?q=Nørgårdsvej 1, 7755 Bedsted Thy;0a3f50c5-f341-32b8-e044-0003ba298018;10a;710252;0787;177837;1166652
1;1;Bedsted Thy;Miljøstyrelsen;Denmark;209691;Søren Leegaard Riis;True;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;9054;7755;2011;Nørgårdsvej;56,78741099;8,431641121;1;https://dawa.aws.dk/adresser?q=;Nørgårdsvej 1, 7755 Bedsted Thy;https://dawa.aws.dk/adresser?q=Nørgårdsvej 1, 7755 Bedsted Thy;https://dawa.aws.dk/adresser?q=Nørgårdsvej 1, 7755 Bedsted Thy;0a3f50c5-f341-32b8-e044-0003ba298018;10a;710252;0787;177837;1166652
1;1;Bedsted Thy;Miljøstyrelsen;Denmark;209691;Søren Leegaard Riis;True;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;9054;7755;2013;Nørgårdsvej;56,78741099;8,431641121;1;https://dawa.aws.dk/adresser?q=;Nørgårdsvej 1, 7755 Bedsted Thy;https://dawa.aws.dk/adresser?q=Nørgårdsvej 1, 7755 Bedsted Thy;https://dawa.aws.dk/adresser?q=Nørgårdsvej 1, 7755 Bedsted Thy;0a3f50c5-f341-32b8-e044-0003ba298018;10a;710252;0787;177837;1166652
1;1;Bolderslev;Miljøstyrelsen;Denmark;158321;KOHBERG BRØD A/S;True;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;7071;6392;2010;Kernesvinget;55,65620357;12,28983214;1;https://dawa.aws.dk/adresser?q=;Kernesvinget 1, 6392 Bolderslev;https://dawa.aws.dk/adresser?q=Kernesvinget 1, 6392 Bolderslev;https://dawa.aws.dk/adresser?q=Kernesvinget 1, 6392 Bolderslev;2374c2e5-98c6-3ff2-e044-0003ba298018;596;1520152;0580;12129;178902
1;1;Esbjerg;Miljøstyrelsen / Danish Environmental Protection Agency;Denmark;6301;Danish Crown AMBA - Esbjerg;True;8.(a);Slaughterhouses;Animal and vegetable products from the food and beverage sector;;1214;6700;2007;Gammelby Ringvej;55,4627869;8,460808278;1;https://dawa.aws.dk/adresser?q=;Gammelby Ringvej 1, 6700 Esbjerg;https://dawa.aws.dk/adresser?q=Gammelby Ringvej 1, 6700 Esbjerg;https://dawa.aws.dk/adresser?q=Gammelby Ringvej 1, 6700 Esbjerg;c347d6b8-9ba7-4aea-a858-df8125c44bc6;59a;2007554;0561;20841;40824
1;1;Esbjerg;Miljøstyrelsen;Denmark;6301;Danish Crown AMBA - Esbjerg;True;8.(a);Slaughterhouses;Animal and vegetable products from the food and beverage sector;;1214;6700;2008;Gammelby Ringvej;55,4627869;8,460808278;1;https://dawa.aws.dk/adresser?q=;Gammelby Ringvej 1, 6700 Esbjerg;https://dawa.aws.dk/adresser?q=Gammelby Ringvej 1, 6700 Esbjerg;https://dawa.aws.dk/adresser?q=Gammelby Ringvej 1, 6700 Esbjerg;c347d6b8-9ba7-4aea-a858-df8125c44bc6;59a;2007554;0561;20841;40824
1;1;Esbjerg;Miljøstyrelsen;Denmark;6301;DANISH CROWN AMBA;True;8.(a);Slaughterhouses;Animal and vegetable products from the food and beverage sector;;1214;6700;2009;Gammelby Ringvej;55,4627869;8,460808278;1;https://dawa.aws.dk/adresser?q=;Gammelby Ringvej 1, 6700 Esbjerg;https://dawa.aws.dk/adresser?q=Gammelby Ringvej 1, 6700 Esbjerg;https://dawa.aws.dk/adresser?q=Gammelby Ringvej 1, 6700 Esbjerg;c347d6b8-9ba7-4aea-a858-df8125c44bc6;59a;2007554;0561;20841;40824
1;1;Esbjerg;Miljøstyrelsen;Denmark;6301;DANISH CROWN AMBA;True;8.(a);Slaughterhouses;Animal and vegetable products from the food and beverage sector;;1214;6700;2010;Gammelby Ringvej;55,4627869;8,460808278;1;https://dawa.aws.dk/adresser?q=;Gammelby Ringvej 1, 6700 Esbjerg;https://dawa.aws.dk/adresser?q=Gammelby Ringvej 1, 6700 Esbjerg;https://dawa.aws.dk/adresser?q=Gammelby Ringvej 1, 6700 Esbjerg;c347d6b8-9ba7-4aea-a858-df8125c44bc6;59a;2007554;0561;20841;40824
1;1;Esbjerg;Miljøstyrelsen;Denmark;6301;DANISH CROWN A/S;True;8.(a);Slaughterhouses;Animal and vegetable products from the food and beverage sector;;1214;6700;2011;Gammelby Ringvej;55,462483;8,461176178;1;https://dawa.aws.dk/adresser?q=;Gammelby Ringvej 1, 6700 Esbjerg;https://dawa.aws.dk/adresser?q=Gammelby Ringvej 1, 6700 Esbjerg;https://dawa.aws.dk/adresser?q=Gammelby Ringvej 1, 6700 Esbjerg;c347d6b8-9ba7-4aea-a858-df8125c44bc6;59a;2007554;0561;20841;40824
1;1;Esbjerg;Miljøstyrelsen;Denmark;6301;DANISH CROWN A/S;True;8.(a);Slaughterhouses;Animal and vegetable products from the food and beverage sector;;1214;6700;2012;Gammelby Ringvej;55,462483;8,461176178;1;https://dawa.aws.dk/adresser?q=;Gammelby Ringvej 1, 6700 Esbjerg;https://dawa.aws.dk/adresser?q=Gammelby Ringvej 1, 6700 Esbjerg;https://dawa.aws.dk/adresser?q=Gammelby Ringvej 1, 6700 Esbjerg;c347d6b8-9ba7-4aea-a858-df8125c44bc6;59a;2007554;0561;20841;40824
1;1;Fakse;Miljøstyrelsen / Danish Environmental Protection Agency;Denmark;10543;Royal Unibrew A/S;True;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;6844;4640;2007;Faxe Alle;55,25954476;12,11525969;1;https://dawa.aws.dk/adresser?q=;Faxe Alle 1, 4640 Fakse;https://dawa.aws.dk/adresser?q=Faxe Alle 1, 4640 Fakse;https://dawa.aws.dk/adresser?q=Faxe Alle 1, 4640 Fakse;5010c817-1a32-4dcf-be3f-a5e03aed9f21;7a;300353;0320;7707;82745
1;1;Fakse;Miljøstyrelsen;Denmark;10543;Royal Unibrew A/S;True;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;6844;4640;2008;Faxe Alle;55,25954476;12,11525969;1;https://dawa.aws.dk/adresser?q=;Faxe Alle 1, 4640 Fakse;https://dawa.aws.dk/adresser?q=Faxe Alle 1, 4640 Fakse;https://dawa.aws.dk/adresser?q=Faxe Alle 1, 4640 Fakse;5010c817-1a32-4dcf-be3f-a5e03aed9f21;7a;300353;0320;7707;82745
1;1;Faxe;Miljøstyrelsen;Denmark;10543;ROYAL UNIBREW A/S;True;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;6844;4640;2009;Faxe Alle;55,25954476;12,11525969;1;https://dawa.aws.dk/adresser?q=;Faxe Alle 1, 4640 Faxe;https://dawa.aws.dk/adresser?q=Faxe Alle 1, 4640 Faxe;https://dawa.aws.dk/adresser?q=Faxe Alle 1, 4640 Faxe;5010c817-1a32-4dcf-be3f-a5e03aed9f21;7a;300353;0320;7707;82745
1;1;Faxe;Miljøstyrelsen;Denmark;10543;ROYAL UNIBREW A/S;True;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;6844;4640;2012;Faxe Alle;55,25954476;12,1152597;1;https://dawa.aws.dk/adresser?q=;Faxe Alle 1, 4640 Faxe;https://dawa.aws.dk/adresser?q=Faxe Alle 1, 4640 Faxe;https://dawa.aws.dk/adresser?q=Faxe Alle 1, 4640 Faxe;5010c817-1a32-4dcf-be3f-a5e03aed9f21;7a;300353;0320;7707;82745
1;1;Faxe;Miljøstyrelsen;Denmark;10543;ROYAL UNIBREW A/S;True;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;6844;4640;2013;Faxe Alle;55,25954476;12,1152597;1;https://dawa.aws.dk/adresser?q=;Faxe Alle 1, 4640 Faxe;https://dawa.aws.dk/adresser?q=Faxe Alle 1, 4640 Faxe;https://dawa.aws.dk/adresser?q=Faxe Alle 1, 4640 Faxe;5010c817-1a32-4dcf-be3f-a5e03aed9f21;7a;300353;0320;7707;82745
1;1;Give;Miljøstyrelsen / Danish Environmental Protection Agency;Denmark;10357;Thomas Knudsen;True;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;6008;7323;2007;Enkelundvej;55,8901244;9,282870375;1;https://dawa.aws.dk/adresser?q=;Enkelundvej 1, 7323 Give;https://dawa.aws.dk/adresser?q=Enkelundvej 1, 7323 Give;https://dawa.aws.dk/adresser?q=Enkelundvej 1, 7323 Give;0a3f50ba-fcc6-32b8-e044-0003ba298018;1i;1121453;0630;34155;391060
1;1;Give;Miljøstyrelsen;Denmark;10357;Thomas Knudsen;True;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;6008;7323;2008;Enkelundvej;55,89013339;9,282870441;1;https://dawa.aws.dk/adresser?q=;Enkelundvej 1, 7323 Give;https://dawa.aws.dk/adresser?q=Enkelundvej 1, 7323 Give;https://dawa.aws.dk/adresser?q=Enkelundvej 1, 7323 Give;0a3f50ba-fcc6-32b8-e044-0003ba298018;1i;1121453;0630;34155;391060
1;1;Give;Miljøstyrelsen;Denmark;10357;THOMAS KNUDSEN;True;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;6008;7323;2009;Enkelundvej;55,89013339;9,282870441;1;https://dawa.aws.dk/adresser?q=;Enkelundvej 1, 7323 Give;https://dawa.aws.dk/adresser?q=Enkelundvej 1, 7323 Give;https://dawa.aws.dk/adresser?q=Enkelundvej 1, 7323 Give;0a3f50ba-fcc6-32b8-e044-0003ba298018;1i;1121453;0630;34155;391060
1;1;Give;Miljøstyrelsen;Denmark;10357;THOMAS KNUDSEN;True;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;6008;7323;2010;Enkelundvej;55,89013339;9,282870441;1;https://dawa.aws.dk/adresser?q=;Enkelundvej 1, 7323 Give;https://dawa.aws.dk/adresser?q=Enkelundvej 1, 7323 Give;https://dawa.aws.dk/adresser?q=Enkelundvej 1, 7323 Give;0a3f50ba-fcc6-32b8-e044-0003ba298018;1i;1121453;0630;34155;391060
