BuildingNumber_original;BuildingNumber;City;CompetentAuthorityName;CountryName;FacilityID;FacilityName;MainActivityIndicator;MainIAActivityCode;MainIAActivityName;MainIASectorName;MainIASubActivityName;NationalID;PostalCode;ReportingYear;StreetName;Lat;Long;Number of Records;url_1;address_full;url_1_full_csv;
1;1;Aalborg Øst;Miljøstyrelsen;Denmark;16575;Danish Crown A/S;TRUE;8.(a);Slaughterhouses;Animal and vegetable products from the food and beverage sector;;1219;9220;2014;Svanningevej;57,03633072;10,02395307;1;https://dawa.aws.dk/adresser?q=;Svanningevej 1, 9220 Aalborg Øst;https://dawa.aws.dk/adresser?q=Svanningevej 1, 9220 Aalborg Øst;https://dawa.aws.dk/adresser?q=Svanningevej 1, 9220 Aalborg Øst
1;1;Aalborg Øst;Miljøstyrelsen;Denmark;16575;Danish Crown A/S;TRUE;8.(a);Slaughterhouses;Animal and vegetable products from the food and beverage sector;;1219;9220;2015;Svanningevej;57,03633072;10,02395307;1;https://dawa.aws.dk/adresser?q=;Svanningevej 1, 9220 Aalborg Øst;https://dawa.aws.dk/adresser?q=Svanningevej 1, 9220 Aalborg Øst;https://dawa.aws.dk/adresser?q=Svanningevej 1, 9220 Aalborg Øst
1;1;Aalborg Øst;Miljøstyrelsen;Denmark;16575;Danish Crown A/S;TRUE;8.(a);Slaughterhouses;Animal and vegetable products from the food and beverage sector;;1219;9220;2016;Svanningevej;57,03633072;10,02395307;1;https://dawa.aws.dk/adresser?q=;Svanningevej 1, 9220 Aalborg Øst;https://dawa.aws.dk/adresser?q=Svanningevej 1, 9220 Aalborg Øst;https://dawa.aws.dk/adresser?q=Svanningevej 1, 9220 Aalborg Øst
1;1;Aalborg Øst;miljøstyrelsen;Denmark;16575;Danish Crown A/S;TRUE;8.(a);Slaughterhouses;Animal and vegetable products from the food and beverage sector;;1219;9220;2017;Svanningevej;57,03633072;10,02395307;1;https://dawa.aws.dk/adresser?q=;Svanningevej 1, 9220 Aalborg Øst;https://dawa.aws.dk/adresser?q=Svanningevej 1, 9220 Aalborg Øst;https://dawa.aws.dk/adresser?q=Svanningevej 1, 9220 Aalborg Øst
1;1;Aarhus C;Miljøstyrelsen;Denmark;237679;AarhusKarlshamn Denmark A/S;TRUE;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;9576;8000;2010;Slipvej;56,14865504;10,20360923;1;https://dawa.aws.dk/adresser?q=;Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C
1;1;Aarhus C;Miljøstyrelsen;Denmark;237679;AarhusKarlshamn Denmark A/S;TRUE;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;9576;8000;2011;Slipvej;56,14865504;10,20360923;1;https://dawa.aws.dk/adresser?q=;Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C
1;1;Aarhus C;Miljøstyrelsen;Denmark;237679;AarhusKarlshamn Denmark A/S;TRUE;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;9576;8000;2012;Slipvej;56,14865504;10,20360923;1;https://dawa.aws.dk/adresser?q=;Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C
1;1;Aarhus C;Miljøstyrelsen;Denmark;237679;AarhusKarlshamn Denmark A/S;TRUE;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;9576;8000;2013;Slipvej;56,14865504;10,20360923;1;https://dawa.aws.dk/adresser?q=;Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C
1;1;Aarhus C;Miljøstyrelsen;Denmark;237679;AarhusKarlshamn Denmark A/S;TRUE;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;9576;8000;2014;Slipvej;56,14865504;10,20360923;1;https://dawa.aws.dk/adresser?q=;Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C
1;1;Aarhus C;Miljøstyrelsen;Denmark;237679;AarhusKarlshamn Denmark A/S;TRUE;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;9576;8000;2015;Slipvej;56,14865504;10,20360923;1;https://dawa.aws.dk/adresser?q=;Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C
1;1;Aarhus C;Miljøstyrelsen;Denmark;237679;AarhusKarlshamn Denmark A/S;TRUE;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;9576;8000;2016;Slipvej;56,14865504;10,20360923;1;https://dawa.aws.dk/adresser?q=;Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C
1;1;Aarhus C;miljøstyrelsen;Denmark;237679;AarhusKarlshamn Denmark A/S;TRUE;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;9576;8000;2017;Slipvej;56,14865504;10,20360923;1;https://dawa.aws.dk/adresser?q=;Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C;https://dawa.aws.dk/adresser?q=Slipvej 1, 8000 Aarhus C
1a;1a;Agerskov;Miljøstyrelsen;Denmark;189605;CARL JOHAN SCHMIDT;TRUE;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;7413;6534;2009;Nitriskærvej;55,13733149;9,126416001;1;https://dawa.aws.dk/adresser?q=;Nitriskærvej 1, 6534 Agerskov;https://dawa.aws.dk/adresser?q=Nitriskærvej 1, 6534 Agerskov;https://dawa.aws.dk/adresser?q=Nitriskærvej 1, 6534 Agerskov
1a;1a;Agerskov;Miljøstyrelsen;Denmark;189605;CARL JOHAN SCHMIDT;TRUE;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;7413;6534;2010;Nitriskærvej;55,13733149;9,126416001;1;https://dawa.aws.dk/adresser?q=;Nitriskærvej 1, 6534 Agerskov;https://dawa.aws.dk/adresser?q=Nitriskærvej 1, 6534 Agerskov;https://dawa.aws.dk/adresser?q=Nitriskærvej 1, 6534 Agerskov
1a;1a;Agerskov;Miljøstyrelsen;Denmark;189605;CARL JOHAN SCHMIDT;TRUE;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;7413;6534;2011;Nitriskærvej;55,13733148;9,126416001;1;https://dawa.aws.dk/adresser?q=;Nitriskærvej 1, 6534 Agerskov;https://dawa.aws.dk/adresser?q=Nitriskærvej 1, 6534 Agerskov;https://dawa.aws.dk/adresser?q=Nitriskærvej 1, 6534 Agerskov
1a;1a;Agerskov;Miljøstyrelsen;Denmark;189605;CARL JOHAN SCHMIDT;TRUE;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;7413;6534;2012;Nitriskærvej;55,13733148;9,126416001;1;https://dawa.aws.dk/adresser?q=;Nitriskærvej 1, 6534 Agerskov;https://dawa.aws.dk/adresser?q=Nitriskærvej 1, 6534 Agerskov;https://dawa.aws.dk/adresser?q=Nitriskærvej 1, 6534 Agerskov
1;1;Århus C;Miljøstyrelsen / Danish Environmental Protection Agency;Denmark;11082;Royal unibrew A/S, CERES BRYGGERIERNE;TRUE;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;871;8000;2007;Ceres Alle;56,15679347;10,19180443;1;https://dawa.aws.dk/adresser?q=;Ceres Alle 1, 8000 Århus C;https://dawa.aws.dk/adresser?q=Ceres Alle 1, 8000 Århus C;https://dawa.aws.dk/adresser?q=Ceres Alle 1, 8000 Århus C
1;1;Århus C;Miljøstyrelsen;Denmark;11082;Royal unibrew A/S, CERES BRYGGERIERNE;TRUE;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;871;8000;2008;Ceres Alle;56,15679347;10,19180443;1;https://dawa.aws.dk/adresser?q=;Ceres Alle 1, 8000 Århus C;https://dawa.aws.dk/adresser?q=Ceres Alle 1, 8000 Århus C;https://dawa.aws.dk/adresser?q=Ceres Alle 1, 8000 Århus C
1;1;Bedsted Thy;Miljøstyrelsen;Denmark;209691;Søren Leegaard Riis;TRUE;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;9054;7755;2008;Nørgårdsvej;56,787411;8,431641121;1;https://dawa.aws.dk/adresser?q=;Nørgårdsvej 1, 7755 Bedsted Thy;https://dawa.aws.dk/adresser?q=Nørgårdsvej 1, 7755 Bedsted Thy;https://dawa.aws.dk/adresser?q=Nørgårdsvej 1, 7755 Bedsted Thy
1;1;Bedsted Thy;Miljøstyrelsen;Denmark;209691;Søren Leegaard Riis;TRUE;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;9054;7755;2011;Nørgårdsvej;56,78741099;8,431641121;1;https://dawa.aws.dk/adresser?q=;Nørgårdsvej 1, 7755 Bedsted Thy;https://dawa.aws.dk/adresser?q=Nørgårdsvej 1, 7755 Bedsted Thy;https://dawa.aws.dk/adresser?q=Nørgårdsvej 1, 7755 Bedsted Thy
1;1;Bedsted Thy;Miljøstyrelsen;Denmark;209691;Søren Leegaard Riis;TRUE;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;9054;7755;2013;Nørgårdsvej;56,78741099;8,431641121;1;https://dawa.aws.dk/adresser?q=;Nørgårdsvej 1, 7755 Bedsted Thy;https://dawa.aws.dk/adresser?q=Nørgårdsvej 1, 7755 Bedsted Thy;https://dawa.aws.dk/adresser?q=Nørgårdsvej 1, 7755 Bedsted Thy
1;1;Bolderslev;Miljøstyrelsen;Denmark;158321;KOHBERG BRØD A/S;TRUE;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;7071;6392;2010;Kernesvinget;55,65620357;12,28983214;1;https://dawa.aws.dk/adresser?q=;Kernesvinget 1, 6392 Bolderslev;https://dawa.aws.dk/adresser?q=Kernesvinget 1, 6392 Bolderslev;https://dawa.aws.dk/adresser?q=Kernesvinget 1, 6392 Bolderslev
1;1;Esbjerg;Miljøstyrelsen / Danish Environmental Protection Agency;Denmark;6301;Danish Crown AMBA - Esbjerg;TRUE;8.(a);Slaughterhouses;Animal and vegetable products from the food and beverage sector;;1214;6700;2007;Gammelby Ringvej;55,4627869;8,460808278;1;https://dawa.aws.dk/adresser?q=;Gammelby Ringvej 1, 6700 Esbjerg;https://dawa.aws.dk/adresser?q=Gammelby Ringvej 1, 6700 Esbjerg;https://dawa.aws.dk/adresser?q=Gammelby Ringvej 1, 6700 Esbjerg
1;1;Esbjerg;Miljøstyrelsen;Denmark;6301;Danish Crown AMBA - Esbjerg;TRUE;8.(a);Slaughterhouses;Animal and vegetable products from the food and beverage sector;;1214;6700;2008;Gammelby Ringvej;55,4627869;8,460808278;1;https://dawa.aws.dk/adresser?q=;Gammelby Ringvej 1, 6700 Esbjerg;https://dawa.aws.dk/adresser?q=Gammelby Ringvej 1, 6700 Esbjerg;https://dawa.aws.dk/adresser?q=Gammelby Ringvej 1, 6700 Esbjerg
1;1;Esbjerg;Miljøstyrelsen;Denmark;6301;DANISH CROWN AMBA;TRUE;8.(a);Slaughterhouses;Animal and vegetable products from the food and beverage sector;;1214;6700;2009;Gammelby Ringvej;55,4627869;8,460808278;1;https://dawa.aws.dk/adresser?q=;Gammelby Ringvej 1, 6700 Esbjerg;https://dawa.aws.dk/adresser?q=Gammelby Ringvej 1, 6700 Esbjerg;https://dawa.aws.dk/adresser?q=Gammelby Ringvej 1, 6700 Esbjerg
1;1;Esbjerg;Miljøstyrelsen;Denmark;6301;DANISH CROWN AMBA;TRUE;8.(a);Slaughterhouses;Animal and vegetable products from the food and beverage sector;;1214;6700;2010;Gammelby Ringvej;55,4627869;8,460808278;1;https://dawa.aws.dk/adresser?q=;Gammelby Ringvej 1, 6700 Esbjerg;https://dawa.aws.dk/adresser?q=Gammelby Ringvej 1, 6700 Esbjerg;https://dawa.aws.dk/adresser?q=Gammelby Ringvej 1, 6700 Esbjerg
1;1;Esbjerg;Miljøstyrelsen;Denmark;6301;DANISH CROWN A/S;TRUE;8.(a);Slaughterhouses;Animal and vegetable products from the food and beverage sector;;1214;6700;2011;Gammelby Ringvej;55,462483;8,461176178;1;https://dawa.aws.dk/adresser?q=;Gammelby Ringvej 1, 6700 Esbjerg;https://dawa.aws.dk/adresser?q=Gammelby Ringvej 1, 6700 Esbjerg;https://dawa.aws.dk/adresser?q=Gammelby Ringvej 1, 6700 Esbjerg
1;1;Esbjerg;Miljøstyrelsen;Denmark;6301;DANISH CROWN A/S;TRUE;8.(a);Slaughterhouses;Animal and vegetable products from the food and beverage sector;;1214;6700;2012;Gammelby Ringvej;55,462483;8,461176178;1;https://dawa.aws.dk/adresser?q=;Gammelby Ringvej 1, 6700 Esbjerg;https://dawa.aws.dk/adresser?q=Gammelby Ringvej 1, 6700 Esbjerg;https://dawa.aws.dk/adresser?q=Gammelby Ringvej 1, 6700 Esbjerg
1;1;Fakse;Miljøstyrelsen / Danish Environmental Protection Agency;Denmark;10543;Royal Unibrew A/S;TRUE;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;6844;4640;2007;Faxe Alle;55,25954476;12,11525969;1;https://dawa.aws.dk/adresser?q=;Faxe Alle 1, 4640 Fakse;https://dawa.aws.dk/adresser?q=Faxe Alle 1, 4640 Fakse;https://dawa.aws.dk/adresser?q=Faxe Alle 1, 4640 Fakse
1;1;Fakse;Miljøstyrelsen;Denmark;10543;Royal Unibrew A/S;TRUE;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;6844;4640;2008;Faxe Alle;55,25954476;12,11525969;1;https://dawa.aws.dk/adresser?q=;Faxe Alle 1, 4640 Fakse;https://dawa.aws.dk/adresser?q=Faxe Alle 1, 4640 Fakse;https://dawa.aws.dk/adresser?q=Faxe Alle 1, 4640 Fakse
1;1;Faxe;Miljøstyrelsen;Denmark;10543;ROYAL UNIBREW A/S;TRUE;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;6844;4640;2009;Faxe Alle;55,25954476;12,11525969;1;https://dawa.aws.dk/adresser?q=;Faxe Alle 1, 4640 Faxe;https://dawa.aws.dk/adresser?q=Faxe Alle 1, 4640 Faxe;https://dawa.aws.dk/adresser?q=Faxe Alle 1, 4640 Faxe
1;1;Faxe;Miljøstyrelsen;Denmark;10543;ROYAL UNIBREW A/S;TRUE;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;6844;4640;2012;Faxe Alle;55,25954476;12,1152597;1;https://dawa.aws.dk/adresser?q=;Faxe Alle 1, 4640 Faxe;https://dawa.aws.dk/adresser?q=Faxe Alle 1, 4640 Faxe;https://dawa.aws.dk/adresser?q=Faxe Alle 1, 4640 Faxe
1;1;Faxe;Miljøstyrelsen;Denmark;10543;ROYAL UNIBREW A/S;TRUE;8.(b);Treatment and processing intended for the production of food and beverage products from:;Animal and vegetable products from the food and beverage sector;;6844;4640;2013;Faxe Alle;55,25954476;12,1152597;1;https://dawa.aws.dk/adresser?q=;Faxe Alle 1, 4640 Faxe;https://dawa.aws.dk/adresser?q=Faxe Alle 1, 4640 Faxe;https://dawa.aws.dk/adresser?q=Faxe Alle 1, 4640 Faxe
1;1;Give;Miljøstyrelsen / Danish Environmental Protection Agency;Denmark;10357;Thomas Knudsen;TRUE;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;6008;7323;2007;Enkelundvej;55,8901244;9,282870375;1;https://dawa.aws.dk/adresser?q=;Enkelundvej 1, 7323 Give;https://dawa.aws.dk/adresser?q=Enkelundvej 1, 7323 Give;https://dawa.aws.dk/adresser?q=Enkelundvej 1, 7323 Give
1;1;Give;Miljøstyrelsen;Denmark;10357;Thomas Knudsen;TRUE;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;6008;7323;2008;Enkelundvej;55,89013339;9,282870441;1;https://dawa.aws.dk/adresser?q=;Enkelundvej 1, 7323 Give;https://dawa.aws.dk/adresser?q=Enkelundvej 1, 7323 Give;https://dawa.aws.dk/adresser?q=Enkelundvej 1, 7323 Give
1;1;Give;Miljøstyrelsen;Denmark;10357;THOMAS KNUDSEN;TRUE;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;6008;7323;2009;Enkelundvej;55,89013339;9,282870441;1;https://dawa.aws.dk/adresser?q=;Enkelundvej 1, 7323 Give;https://dawa.aws.dk/adresser?q=Enkelundvej 1, 7323 Give;https://dawa.aws.dk/adresser?q=Enkelundvej 1, 7323 Give
1;1;Give;Miljøstyrelsen;Denmark;10357;THOMAS KNUDSEN;TRUE;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;6008;7323;2010;Enkelundvej;55,89013339;9,282870441;1;https://dawa.aws.dk/adresser?q=;Enkelundvej 1, 7323 Give;https://dawa.aws.dk/adresser?q=Enkelundvej 1, 7323 Give;https://dawa.aws.dk/adresser?q=Enkelundvej 1, 7323 Give
1;1;Give;Miljøstyrelsen;Denmark;10357;THOMAS KNUDSEN;TRUE;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;6008;7323;2011;Enkelundvej;55,89013338;9,282870441;1;https://dawa.aws.dk/adresser?q=;Enkelundvej 1, 7323 Give;https://dawa.aws.dk/adresser?q=Enkelundvej 1, 7323 Give;https://dawa.aws.dk/adresser?q=Enkelundvej 1, 7323 Give
1;1;Give;Miljøstyrelsen;Denmark;10357;THOMAS KNUDSEN;TRUE;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;6008;7323;2012;Enkelundvej;55,89013338;9,282870441;1;https://dawa.aws.dk/adresser?q=;Enkelundvej 1, 7323 Give;https://dawa.aws.dk/adresser?q=Enkelundvej 1, 7323 Give;https://dawa.aws.dk/adresser?q=Enkelundvej 1, 7323 Give
1;2;Gram;Miljøstyrelsen;Denmark;189616;Jens Nielsen;TRUE;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;6605;6510;2008;Nørremarksvej;55,26625966;9,078638148;1;https://dawa.aws.dk/adresser?q=;Nørremarksvej 2, 6510 Gram;https://dawa.aws.dk/adresser?q=Nørremarksvej 2, 6510 Gram;https://dawa.aws.dk/adresser?q=Nørremarksvej 2, 6510 Gram
1;2;Gram;Miljøstyrelsen;Denmark;189616;GÅRDEJER                          JENS WRAA NIELSEN;TRUE;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;6605;6510;2010;Nørremarksvej;55,271573;9,081125;1;https://dawa.aws.dk/adresser?q=;Nørremarksvej 2, 6510 Gram;https://dawa.aws.dk/adresser?q=Nørremarksvej 2, 6510 Gram;https://dawa.aws.dk/adresser?q=Nørremarksvej 2, 6510 Gram
1;2;Gram;Miljøstyrelsen;Denmark;189616;GÅRDEJER                          JENS WRAA NIELSEN;TRUE;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;6605;6510;2011;Nørremarksvej;55,271573;9,081125;1;https://dawa.aws.dk/adresser?q=;Nørremarksvej 2, 6510 Gram;https://dawa.aws.dk/adresser?q=Nørremarksvej 2, 6510 Gram;https://dawa.aws.dk/adresser?q=Nørremarksvej 2, 6510 Gram
1;1;Haslev;Miljøstyrelsen;Denmark;237723;Peter Kiær Svineproduktion Aps;TRUE;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;9846;4690;2014;Storgårdsvej;55,38230877;11,96842135;1;https://dawa.aws.dk/adresser?q=;Storgårdsvej 1, 4690 Haslev;https://dawa.aws.dk/adresser?q=Storgårdsvej 1, 4690 Haslev;https://dawa.aws.dk/adresser?q=Storgårdsvej 1, 4690 Haslev
1;1;Havndal;Miljøstyrelsen;Denmark;158266;Niels Åge Virenfeldt Nørager;TRUE;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;8393;8970;2009;Bruuns Plantage vej;56,66469888;10,27915712;1;https://dawa.aws.dk/adresser?q=;Bruns Plantagevej 1, 8970 Havndal;https://dawa.aws.dk/adresser?q=Bruns Plantagevej 1, 8970 Havndal;https://dawa.aws.dk/adresser?q=Bruns Plantagevej 1, 8970 Havndal
1;1;Havndal;Miljøstyrelsen;Denmark;158266;Niels Åge Virenfeldt Nørager;TRUE;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;8393;8970;2010;Bruuns Plantage vej;56,66469888;10,27915712;1;https://dawa.aws.dk/adresser?q=;Bruns Plantagevej 1, 8970 Havndal;https://dawa.aws.dk/adresser?q=Bruns Plantagevej 1, 8970 Havndal;https://dawa.aws.dk/adresser?q=Bruns Plantagevej 1, 8970 Havndal
1;1;Havndal;miljøstyrelsen;Denmark;158266;Niels Åge Virenfeldt Nørager;TRUE;7.(a);Installations for the intensive rearing of poultry or pigs;Intensive livestock production and aquaculture;;8393;8970;2017;Bruuns Plantage vej;56,66469887;10,27915712;1;https://dawa.aws.dk/adresser?q=;Bruns Plantagevej 1, 8970 Havndal;https://dawa.aws.dk/adresser?q=Bruns Plantagevej 1, 8970 Havndal;https://dawa.aws.dk/adresser?q=Bruns Plantagevej 1, 8970 Havndal
