CVR-nummer;Startdato;Ophørsdato;Navn;Adresse;Postnr.;By;Virksomhedsform;Hovedbranche;Telefonnr;Email;Reklamebeskyttet;Lat;Lon;;
26121264;01/07/2001;;DANISH CROWN A/S ;Marsvej 43;8960;Randers;Aktieselskab;101110 Forarbejdning af svinekød;89191919;;Nej;56,430005;10,059676;;
26786576;18/09/2002;;TICAN FRESH MEAT A/S ;Strandvejen 6;7700;Thisted;Aktieselskab;101110 Forarbejdning af svinekød;99192300;TICAN@TICAN.DK;Nej;56,9542988;8,6996903;;
39547430;07/05/2018;;Jensen's Slagtehus ApS under tvangsopløsning;Rigtrupvej 44  -  Voldum;8370;Hadsten;Anpartsselskab;101110 Forarbejdning af svinekød;86491416;information@jensens-slagtehus.dk;Ja;56,368032;10,1861336;;
14641998;01/11/1990;;HØVE SLAGTERI ;c/o Slagtermester Jan Lund -   Høvevej 65;4550;Asnæs;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;59316886;;Ja;55,8360478;11,4867386;;
41280158;13/04/2020;;Slagter Kristian Sand Olesen ;Brandevej 24;7430;Ikast;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;;ks.olesen@hotmail.com;Ja;56,07589;9,145003;;
21942677;01/09/1999;;Jensens Slagtehus Morten Enggrob Jensen ;Rigtrupvej 44  -  Voldum;8370;Hadsten;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;;information@jensens-slagtehus.dk;Nej;56,368032;10,1861336;;
28649398;18/07/2005;;Smedegård v/ John Kristian Jensen ;Kytterupvej 11;6990;Ulfborg;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;;;Nej;56,300915;8,332955;;
36590696;01/05/2015;;Sæby Gårdslagteri I/S ;Ålborgvej 108;9300;Sæby;Interessentskab;101110 Forarbejdning af svinekød;60443804;kontakt@saebygaardslagteri.dk;Ja;57,320001;10,4753138;;
40690484;08/08/2019;;Den tørrede gris ;c/o Niels Bjerregård Pedersen -   St. Ladegårdsvej 8;4180;Sorø;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;23262216;Skovgrisen@gmail.com;Ja;55,419637;11,6143059;;
38119362;19/10/2016;;Riberholdt Consulting ;Hvalfisken 11;7500;Holstebro;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;30142120;idomlund@gmail.com;Ja;56,3221556;8,6091291;;
30267699;01/04/2007;;Ulfborg Slagteri v/Per O Nielsen ;Industriarealet 40;6990;Ulfborg;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;97492200;;Nej;56,2612983;8,3191117;;
35909737;18/07/2014;;Ømands I/S ;Sønder Vilstrup Bygade 1B;6100;Haderslev;Interessentskab;101110 Forarbejdning af svinekød;;aungstrup@gmail.com;Ja;55,19181;9,516577;;
32572154;01/12/2009;;Hjemmeslagter Martin Jørgensen ;Harres 4;6261;Bredebro;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;73710044;martinhjemmeslagter@sol.dk;Nej;55,057104;8,779984;;
27302165;01/09/2003;;Grenaa Slagtehus I/S v/Tage Sehested Severinsen og Peder Bertelsen ;c/o Peder Bertelsen -   Tempovej 18;8500;Grenaa;Interessentskab;101110 Forarbejdning af svinekød;86327032;mail@grenaaslagtehus.dk;Nej;56,422706;10,902828;;
35696032;01/01/2014;;Concepcion Pimentel Schallert ;Auningvej 3;8963;Auning;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;;concepcionp3@rougsoes.net;Ja;56,449026;10,4061471;;
26669170;01/01/2002;;Selskabet af 01.01.2002 ApS under konkurs;Industrivej 17D  -  Ubby;4490;Jerslev;Anpartsselskab;101110 Forarbejdning af svinekød;59596200;berit@hvidebaek-slagteri.dk;Nej;55,612118;11,213025;;
30647653;01/11/2017;08/08/2018;Sties Multiservice ;Koldingvej 27;4200;Slagelse;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;21722212;leslie.stie@gmail.com;Ja;55,41767;11,356928;;
28364733;01/12/2008;31/12/2012;Mobil Hjemmeslagt v/Brian Hald Thrane ;Stationsvej 8  -  Andst;6600;Vejen;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;42390960;;Nej;55,4701256;9,2383842;;
35765417;02/05/2014;31/05/2015;Håsum Chacuteri ;c/o Ulrik Lajgaard -   Landevejen 28;7860;Spøttrup;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;;ulriklajgaard@gmail.com;Nej;56,577662;8,848227;;
35099417;01/07/2013;31/12/2017;Sindal Slagtehus ;Nejstvej 99;9870;Sindal;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;;info@sindalslagtehus.dk;Nej;57,477244;10,24421;;
16860808;01/04/1993;30/06/2009;CARL HERSE ;Rævekærvej 4  -  Nørrehede;6230;Rødekro;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;74698121;;Nej;55,125594;9,37573;;
25006267;11/10/1999;19/11/2017;Hvam Slagterhus I/S ;Gl. Viborgvej 86;9620;Aalestrup;Interessentskab;101110 Forarbejdning af svinekød;98648003;;Nej;56,7638821;9,5580595;;
38998455;01/02/1987;31/12/2010;AIDT SLAGTEHUS V/DANNIE TOM JØRGENSEN ;Bavnehøjvej 1  -  Aidt;8881;Thorsø;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;86966943;;Nej;56,3115561;9,8063041;;
30475135;01/08/2007;31/12/2009;Jørgen Olsen ;Elmekrogen 4;3200;Helsinge;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;21629620;jio@postil.tele.dk;Nej;56,019973;12,185677;;
13069948;01/04/1985;28/02/2018;Tonis Slagterhus v/Toni Abrahamsen ;Stenagervej 4  -  Bedsted;6240;Løgumkloster;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;74777025;;Ja;55,081201;9,100139;;
32792162;06/04/2010;30/09/2010;Norwest Foods International ltd ;c/o Danish Meat CompanyA/S C.Sørensen -   Nygade 5 - 7;9760;Vrå;Anden udenlandsk virksomhed;101110 Forarbejdning af svinekød;96248500;ces@d-m-c.dk;Nej;57,354579;9,943587;;
33432550;01/04/2011;30/09/2012;KS Kød I/S ;Hvamvej 23;7500;Holstebro;Interessentskab;101110 Forarbejdning af svinekød;40102617;;Nej;56,4093835;8,7305805;;
15085681;01/04/1991;06/07/2010;SLAGTERISELSKABET DANISH CROWN AMBA SVINEDIVISION NORD ;Østergade 8;8850;Bjerringbro;Forening;101110 Forarbejdning af svinekød;;;Nej;56,3751813;9,6610264;;
25208897;25/02/2016;23/03/2018;Morsø Slagteri ;Food Parken 3;7900;Nykøbing;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;97769799;morsslh@gmail.com;Nej;56,820603;8,7860729;;
35786171;01/06/2014;30/06/2020;Sæby Gårdslagteri ;Hasselvej 2;9300;Sæby;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;60443804;logt@email.dk;Nej;57,3245408;10,4895661;;
29139725;12/10/2005;11/12/2012;DANISH MEAT COMPANY A/S ;Nygade 5 - 7;9760;Vrå;Aktieselskab;101110 Forarbejdning af svinekød;96248500;lunden@asdal.dk;Nej;57,354579;9,943587;;
10130816;31/01/2003;03/07/2013;MORSØ SLAGTERI OG KØDENGROS ApS ;Food Parken 3  -  Tødsø;7900;Nykøbing;Anpartsselskab;101110 Forarbejdning af svinekød;97720074;;Nej;56,820603;8,7860729;;
32664601;28/12/2009;22/06/2012;AKTIESELSKABET AF 28. DECEMBER 2009 ;c/o Mazanti-Andersen -  Korsø Jensen & Partner -   Store Kongensgade 69;1264;København;Aktieselskab;101110 Forarbejdning af svinekød;;;Nej;55,681994;12,591177;;
31067693;22/11/2007;26/04/2012;VESTFYENS SLAGTEHUS ApS ;Industrivej 2;5592;Ejby;Anpartsselskab;101110 Forarbejdning af svinekød;86255256;;Nej;55,440792;9,9445219;;
14417176;01/08/1990;11/07/2017;GUDME PRIVATSLAGTERI ApS ;Teglværksvej 89;5884;Gudme;Anpartsselskab;101110 Forarbejdning af svinekød;62251081;johnf@nielsen.mail.dk;Nej;55,1551;10,7018511;;
20958472;17/06/1998;16/11/2012;SKOVGAARD'S SLAGTERI OG KØDOPSKÆRING A/S ;Industrivej 7;5750;Ringe;Aktieselskab;101110 Forarbejdning af svinekød;62621096;;Nej;55,2483719;10,4865017;;
30812271;24/08/2007;16/11/2015;MOESGAARD MEAT A/S ;Naurvej 17;7500;Holstebro;Aktieselskab;101110 Forarbejdning af svinekød;97432326;;Nej;56,376774;8,517515;;
10112613;01/01/2003;21/12/2009;TAGMOSES SLAGTEHUS, TISTRUP ApS ;Frejasvej 13;6862;Tistrup;Anpartsselskab;101110 Forarbejdning af svinekød;75292172;;Nej;55,710429;8,604746;;
86555816;22/06/1979;19/06/2014; ;Bødkervej 1;4450;Jyderup;Aktieselskab;101110 Forarbejdning af svinekød;;;Nej;55,648731;11,431577;;
29148287;25/10/2005;18/10/2019;JUTLAND MEAT A/S ;Havnevej 8;7600;Struer;Aktieselskab;101110 Forarbejdning af svinekød;;info@jutlandmeat.dk;Nej;56,492939;8,6029969;;
31279585;29/02/2008;16/04/2019;HÅRBY SLAGTEHUS ApS ;Den Grønne Vej 1  -  Hårby;8660;Skanderborg;Anpartsselskab;101110 Forarbejdning af svinekød;;;Nej;56,081172;9,89441;;
34734496;13/11/2012;14/08/2018;DANISH MEAT COMPANY, VRAA A/S ;Nygade 5 - 7;9760;Vrå;Aktieselskab;101110 Forarbejdning af svinekød;;;Nej;57,354579;9,943587;;
31279844;29/02/2008;21/12/2015;H. S. SLAGTERI, SKANDERBORG ApS ;Den Grønne Vej 1;8660;Skanderborg;Anpartsselskab;101110 Forarbejdning af svinekød;;;Nej;56,081172;9,89441;;
25322894;01/04/2000;14/06/2016;NORDKØD ApS ;Harløsevej 224;3400;Hillerød;Anpartsselskab;101110 Forarbejdning af svinekød;48210417;;Nej;55,9252422;12,2187219;;
21239372;01/10/1998;26/08/2010;VOERLADEGAARD SLAGTER A/S ;Holmedal 28  -  Voerladegård;8660;Skanderborg;Aktieselskab;101110 Forarbejdning af svinekød;75782040;;Nej;56,0240817;9,7307356;;
25022173;11/11/1999;28/10/2009;EJENDOMSSELSKABET LASK ApS ;c/o Lars Andersen -   Munkhulevej 5  -  Staby;6990;Ulfborg;Anpartsselskab;101110 Forarbejdning af svinekød;;;Nej;56,252205;8,23159;;
45613410;18/11/1986;31/01/2014;ANDELSSELSKABET AF 2. JULI 2012 ;Bragesvej 18;4100;Ringsted;Andelsselskab (-forening) med begrænset ansvar;101110 Forarbejdning af svinekød;76745111;;Nej;55,429287;11,798491;;
37172855;09/10/2015;26/03/2020;XYÅ af 30.12.2018 A/S ;Brunagervej 1  -  Kolt;8361;Hasselager;Aktieselskab;101110 Forarbejdning af svinekød;;;Nej;56,100809;10,071129;;
70243016;28/11/1986;08/09/2009;STEFF-HOULBERG A.M.B.A. ;c/o DANISH CROWN AmbA -   Marsvej 43;8960;Randers;Andelsselskab (-forening) med begrænset ansvar;101110 Forarbejdning af svinekød;57616263;;Nej;56,430005;10,059676;;
62011513;11/08/1980;08/01/2019;SB PORK A/S ;Markedsvej 9;6650;Brørup;Aktieselskab;101110 Forarbejdning af svinekød;75381433;;Nej;55,482887;9,009634;;
