CVR;nameCvr;addressCvr;zipcodeCvr;cityCvr;citynameCv;protectedC;phoneCvr;emailCvr;startdateC;enddateCvr;employeesC;companycod;companydes;creditstar;creditbank;creditstat;ownersName;Lat;Lon;INT_Lat;INT_Lon
"13069948";Tonis Slagterhus v/Toni Abrahamsen;Stenagervej 4;"6240";Løgumkloster;Bedsted;TRUE;"74777025";;01/04/1985;28/02/2018;2-4;"10";Enkeltmandsvirksomhed;;FALSE;;[{'name': 'Toni Abrahamsen'}];"55,081201";"9,100139";55.081201000000000;9.100139000000000
"32792162";Norwest Foods International ltd;Nygade 5-7;"9760";Vrå;;FALSE;"96248500";ces@d-m-c.dk;06/04/2010;30/09/2010;;"210";Anden udenlandsk virksomhed;;FALSE;;[{'name': 'Norwest Foods International ltd'}];"57,354579";"9,943587";57.354579000000001;9.943587000000001
"33432550";KS Kød I/S;Hvamvej 23;"7500";Holstebro;;FALSE;"40102617";;01/04/2011;30/09/2012;"0";"30";Interessentskab;;FALSE;;"[{'name': 'Sten Mølgaard'}, {'name': 'Kurt Nielsen'}]";"56,4093835";"8,7305805";56.409383499999997;8.730580500000000
"15085681";SLAGTERISELSKABET DANISH CROWN AMBA SVINEDIVISION NORD;Østergade 8;"8850";Bjerringbro;;FALSE;;;01/04/1991;06/07/2010;;"110";Forening;;FALSE;;;"56,3751813";"9,6610264";56.375181300000001;9.661026400000001
"25208897";Morsø Slagteri;Food Parken 3;"7900";Nykøbing M;;FALSE;;;25/02/2016;23/03/2018;"0";"10";Enkeltmandsvirksomhed;23/03/2018;TRUE;"3";[{'name': 'Bente Nielsen'}];"56,820603";"8,7860729";56.820602999999998;8.786072900000001
"35786171";Sæby Gårdslagteri;Hasselvej 2;"9300";Sæby;;FALSE;"60443804";logt@email.dk;01/06/2014;30/06/2020;"0";"10";Enkeltmandsvirksomhed;;FALSE;;[{'name': 'Thomas Heden Gadekær'}];"57,3245408";"10,4895661";57.324540800000001;10.489566099999999
"29139725";DANISH MEAT COMPANY A/S;Nygade 5-7;"9760";Vrå;;FALSE;"96248500";lunden@asdal.dk;12/10/2005;11/12/2012;100-199;"60";Aktieselskab;11/12/2012;TRUE;"3";;"57,354579";"9,943587";57.354579000000001;9.943587000000001
"10130816";MORSØ SLAGTERI OG KØDENGROS ApS;Food Parken 3;"7900";Nykøbing M;Tødsø;FALSE;"97720074";;31/01/2003;03/07/2013;2-4;"80";Anpartsselskab;03/07/2013;TRUE;"3";;"56,820603";"8,7860729";56.820602999999998;8.786072900000001
"32664601";AKTIESELSKABET AF 28. DECEMBER 2009;Store Kongensgade 69;"1264";København K;;FALSE;;;28/12/2009;22/06/2012;20-49;"60";Aktieselskab;22/06/2012;TRUE;"3";;"55,681994";"12,591177";55.681994000000003;12.591177000000000
"31067693";VESTFYENS SLAGTEHUS ApS;Industrivej 2;"5592";Ejby;;FALSE;"86255256";;22/11/2007;26/04/2012;"0";"80";Anpartsselskab;26/04/2012;TRUE;"3";;"55,440792";"9,9445219";55.440792000000002;9.944521900000000
"14417176";GUDME PRIVATSLAGTERI ApS;Teglværksvej 89;"5884";Gudme;;FALSE;"62251081";johnf@nielsen.mail.dk;01/08/1990;11/07/2017;"0";"80";Anpartsselskab;11/07/2017;TRUE;"3";;"55,1551";"10,7018511";55.155099999999997;10.701851100000001
"20958472";SKOVGAARD'S SLAGTERI OG KØDOPSKÆRING A/S;Industrivej 7;"5750";Ringe;;FALSE;"62621096";;17/06/1998;16/11/2012;"0";"60";Aktieselskab;16/11/2012;TRUE;"3";;"55,2483719";"10,4865017";55.248371900000002;10.486501700000000
"30812271";MOESGAARD MEAT A/S;Naurvej 17;"7500";Holstebro;;FALSE;"97432326";;24/08/2007;16/11/2015;"0";"60";Aktieselskab;16/11/2015;TRUE;"3";;"56,376774";"8,517515";56.376773999999997;8.517515000000000
"10112613";"TAGMOSES SLAGTEHUS, TISTRUP ApS";Frejasvej 13;"6862";Tistrup;;FALSE;"75292172";;01/01/2003;21/12/2009;"0";"80";Anpartsselskab;21/12/2009;TRUE;"3";;"55,710429";"8,604746";55.710428999999998;8.604746000000000
"86555816";SKARRESØ PRIVATSLAGTERI A/S;Bødkervej 1;"4450";Jyderup;;FALSE;;;22/06/1979;19/06/2014;"0";"60";Aktieselskab;19/06/2014;TRUE;"3";;"55,648731";"11,431577";55.648730999999998;11.431577000000001
"29148287";JUTLAND MEAT A/S;Havnevej 8;"7600";Struer;;FALSE;;info@jutlandmeat.dk;25/10/2005;18/10/2019;"0";"60";Aktieselskab;18/10/2019;TRUE;"3";;"56,492939";"8,6029969";56.492939000000000;8.602996900000001
"31279585";HÅRBY SLAGTEHUS ApS;Den Grønne Vej 1;"8660";Skanderborg;Hårby;FALSE;;;29/02/2008;16/04/2019;"0";"80";Anpartsselskab;16/04/2019;TRUE;"3";;"56,081172";"9,89441";56.081172000000002;9.894410000000001
"34734496";"DANISH MEAT COMPANY, VRAA A/S";Nygade 5-7;"9760";Vrå;;FALSE;;;13/11/2012;14/08/2018;2-4;"60";Aktieselskab;14/08/2018;TRUE;"3";;"57,354579";"9,943587";57.354579000000001;9.943587000000001
"31279844";"H. S. SLAGTERI, SKANDERBORG ApS";Den Grønne Vej 1;"8660";Skanderborg;;FALSE;;;29/02/2008;21/12/2015;"0";"80";Anpartsselskab;21/12/2015;TRUE;"3";;"56,081172";"9,89441";56.081172000000002;9.894410000000001
"25322894";NORDKØD ApS;Harløsevej 224;"3400";Hillerød;;FALSE;"48210417";;01/04/2000;14/06/2016;"0";"80";Anpartsselskab;14/06/2016;TRUE;"3";;"55,9252422";"12,2187219";55.925242200000000;12.218721900000000
"21239372";VOERLADEGAARD SLAGTER A/S;Holmedal 28;"8660";Skanderborg;Voerladegård;FALSE;"75782040";;01/10/1998;26/08/2010;"0";"60";Aktieselskab;26/08/2010;TRUE;"1";;"56,0240817";"9,7307356";56.024081700000004;9.730735599999999
"25022173";EJENDOMSSELSKABET LASK ApS;Munkhulevej 5;"6990";Ulfborg;Staby;FALSE;;;11/11/1999;28/10/2009;"0";"80";Anpartsselskab;28/10/2009;TRUE;;;"56,252205";"8,23159";56.252204999999996;8.231590000000001
"45613410";ANDELSSELSKABET AF 2. JULI 2012;Bragesvej 18;"4100";Ringsted;;FALSE;;;18/11/1986;31/01/2014;"0";"140";Andelsselskab (-forening) med begrænset ansvar;31/01/2014;TRUE;;;"55,429287";"11,798491";55.429287000000002;11.798491000000000
"37172855";XYÅ af 30.12.2018 A/S;Brunagervej 1;"8361";Hasselager;Kolt;FALSE;;;09/10/2015;26/03/2020;;"60";Aktieselskab;26/03/2020;TRUE;;;"56,100809";"10,071129";56.100808999999998;10.071129000000001
"70243016";STEFF-HOULBERG A.M.B.A.;Marsvej 43;"8960";Randers SØ;;FALSE;;;28/11/1986;08/09/2009;"0";"140";Andelsselskab (-forening) med begrænset ansvar;08/09/2009;TRUE;;;"56,430005";"10,059676";56.430005000000001;10.059676000000000
"62011513";SB PORK A/S;Markedsvej 9;"6650";Brørup;;FALSE;"75381433";;11/08/1980;08/01/2019;200-499;"60";Aktieselskab;;FALSE;;;"55,482887";"9,009634";55.482886999999998;9.009634000000000
