CVR;P-nummer;mainPno;namePno;addressPno;zipcodePno;cityPno;protectedP;phonePno;emailPno;startdateP;enddatePno;employeesP;addresscoP;industryco;industryde;Lat;Lon;field_19;INT_Lat;INT_Lon
"30920406";"1013712804";True;GRAMBOGÅRD A/S;Ellehaven 55;"5690.0";Tommerup;False;"64761577.0";;10/09 - 2007;;10-19;;"101110";Forarbejdning af svinekød;"55,31235";"10,216";;55.312350000000002;10.215999999999999
"37033960";"1020670734";True;HP Production ApS;Naurvej 3A;"7500.0";Holstebro;False;"97432326.0";moesgaard@moesgaard-meat.dk;24/08 - 2015;;20-49;;"101110";Forarbejdning af svinekød;"56,376528";"8,517437";;56.376528000000000;8.517436999999999
"27654746";"1015938354";False;Vester Hæsinge Slagterforretning ApS;Birkevej 37;"5672.0";Broby;False;"62631353.0";vhslagter@mail.dk;25/03 - 2010;31/12 - 2013;2-4;;"472200";Slagter- og viktualieforretninger;"55,194946";"10,247266";;55.194946000000002;10.247266000000000
"27654746";"1021177675";False;Vester Hæsinge Slagterforretning ApS;Birkevej 37;"5672.0";Broby;False;"62631353.0";vhslagter@mail.dk;02/02 - 2016;03/02 - 2016;;;"463200";Engroshandel med kød og kødprodukter;"55,194946";"10,247266";;55.194946000000002;10.247266000000000
"27654746";"1021393130";False;Ringe Slagter & Delikatesser;Jernbanegade 21;"5750.0";Ringe;False;"62631353.0";vhslagter@mail.dk;20/04 - 2016;31/12 - 2016;5-9;;"472200";Slagter- og viktualieforretninger;"55,23937";"10,480508";"10,480508";55.239370000000001;10.480508000000000
"27654746";"1010467043";True;VESTER HÆSINGE SLAGTERFORRETNING ApS;Birkevej 37;"5672.0";Broby;False;"62631353.0";vhslagter@mail.dk;22/03 - 2004;;10-19;;"101110";Forarbejdning af svinekød;"55,194946";"10,247266";;55.194946000000002;10.247266000000000
"16523844";"1001113788";True;INCO SVENDBORG SLAGTEHUS A/S;Porthusvej 75;"5700.0";Svendborg;False;"62213278.0";;01/10 - 1992;;20-49;;"101110";Forarbejdning af svinekød;"55,073755";"10,609686";;55.073754999999998;10.609686000000000
"37144789";"1020799249";True;Hårby Slagteren IVS;Den Grønne Vej 1;"8660.0";Skanderborg;True;"86523010.0";hs-slagteri@hotmail.dk;08/10 - 2015;;20-49;;"101110";Forarbejdning af svinekød;"56,081277";"9,894588";;56.081277000000000;9.894588000000001
"26121264";"1016497297";False;Danish Crown A/S;Viddingherredsgade 26;"6270.0";Tønder;False;"89191919.0";dc@danishcrown.dk;10/12 - 2010;31/12 - 2016;"0";;"101190";Forarbejdning af andet kød;"54,9322607";"8,8585858";;54.932260700000000;8.858585800000000
"26121264";"1021759607";False;Danish Crown A/S;Tulipvej 10;"7100.0";Vejle;False;;;01/10 - 2016;30/11 - 2017;2-4;;"101110";Forarbejdning af svinekød;"55,73513";"9,56902";;55.735129999999998;9.569020000000000
"26121264";"1021753617";False;Danish Crown A/S;Skt. Knuds Torv 7-9;"8000.0";Aarhus C;False;"89191919.0";;15/09 - 2016;31/12 - 2017;"0";;"101110";Forarbejdning af svinekød;"56,15157";"10,20594";;56.151570000000000;10.205940000000000
"26121264";"1016497416";False;Danish Crown A/S;Nygade 48;"6900.0";Skjern;False;"89191919.0";dc@danishcrown.dk;10/12 - 2010;31/12 - 2014;"0";;"101190";Forarbejdning af andet kød;"55,952791";"8,490912";;55.952790999999998;8.490912000000000
"26121264";"1016497181";False;Danish Crown A/S;Østre Alle 4;"9560.0";Hadsund;False;"89191919.0";dc@danishcrown.dk;10/12 - 2010;31/12 - 2013;20-49;;"101110";Forarbejdning af svinekød;"56,716021";"10,116888";;56.716020999999998;10.116887999999999
"26121264";"1016497084";False;Danish Crown A/S;Vendersgade 40;"7500.0";Holstebro;False;"89191919.0";dc@danishcrown.dk;10/12 - 2010;31/12 - 2013;10-19;;"101190";Forarbejdning af andet kød;"56,369482";"8,619365";;56.369481999999998;8.619365000000000
"26121264";"1016497203";False;Danish Crown A/S;Vendersgade 6;"7500.0";Holstebro;False;"89191919.0";dc@danishcrown.dk;10/12 - 2010;31/12 - 2014;"0";;"101190";Forarbejdning af andet kød;"56,366182";"8,619496";;56.366182000000002;8.619496000000000
"26121264";"1016497467";False;Danish Crown A/S;Vendersgade 23-25;"7500.0";Holstebro;False;"89191919.0";dc@danishcrown.dk;10/12 - 2010;31/12 - 2014;"1";;"101110";Forarbejdning af svinekød;"56,3669217";"8,6199588";;56.366921699999999;8.619958799999999
"26121264";"1016497491";False;Danish Crown A/S;Brårupgade 11;"7800.0";Skive;False;"89191919.0";dc@danishcrown.dk;10/12 - 2010;11/11 - 2014;"0";;"101110";Forarbejdning af svinekød;"56,56159";"9,035146";;56.561590000000002;9.035145999999999
"26121264";"1016519975";False;Danish Crown A/S;Gl Hygumvej 5;"6630.0";Rødding;False;"89191919.0";dc@danishcrown.dk;20/12 - 2010;05/01 - 2012;"0";;"101110";Forarbejdning af svinekød;"55,3653";"9,04902";;55.365299999999998;9.049020000000001
"26121264";"1016497289";False;DANISH CROWN A/S;Gammelby Ringvej 1;"6700.0";Esbjerg;False;"89191919.0";dc@danishcrown.dk;10/12 - 2010;31/12 - 2014;"1";;"101110";Forarbejdning af svinekød;"55,462987";"8,46148";;55.462986999999998;8.461480000000000
"26121264";"1018235591";False;ESS-FOOD;Kirkebjerg Parkvej 9;"2605.0";Brøndby;False;;;31/01 - 2013;31/10 - 2014;"1";;"101110";Forarbejdning af svinekød;"55,659378";"12,395431";;55.659377999999997;12.395431000000000
"26121264";"1016497254";False;Danish Crown A/S;Ndr. Havnevej 1;"6000.0";Kolding;False;"89191919.0";dc@danishcrown.dk;10/12 - 2010;;5-9;;"101110";Forarbejdning af svinekød;"55,495083";"9,492563";;55.495083000000001;9.492563000000001
"26121264";"1016458771";False;Danish Crown A/S;Havnegade 5;"5600.0";Faaborg;False;"89191919.0";;22/11 - 2010;;"1";;"101110";Forarbejdning af svinekød;"55,09611";"10,237623";;55.096110000000003;10.237622999999999
"26121264";"1019250810";False;ESS-Food;Kirkebjerg Parkvej 9;"2605.0";Brøndby;False;;;01/01 - 2013;;2-4;;"101110";Forarbejdning af svinekød;"55,659378";"12,395431";;55.659377999999997;12.395431000000000
"26121264";"1019812223";False;Danish Crown A/S;Flæsketorvet 41;"1711.0";København V;False;"89191919.0";hekn@danishcrown.dk;01/06 - 2014;;5-9;;"101110";Forarbejdning af svinekød;"55,668222";"12,560374";;55.668222000000000;12.560373999999999
"26121264";"1018525875";False;Danish Crown A/S OD Holsted;Energivej 5-7;"6670.0";Holsted;False;;GTH@danishcrown.dk;30/05 - 2013;;100-199;;"101190";Forarbejdning af andet kød;"55,5234272";"8,9110035";;55.523427200000000;8.911003500000000
"26121264";"1016497173";False;Danish Crown A/S;Åbenråvej 11;"6780.0";Skærbæk;False;"89191919.0";dc@danishcrown.dk;10/12 - 2010;;50-99;;"101110";Forarbejdning af svinekød;"55,155712";"8,776351";;55.155712000000001;8.776351000000000
"26121264";"1016497114";False;Danish Crown A/S;Erhvervsparken 2;"7280.0";Sønder Felding;False;"89191919.0";dc@danishcrown.dk;10/12 - 2010;;50-99;;"101190";Forarbejdning af andet kød;"55,94697";"8,78098";;55.946970000000000;8.780980000000000
"26121264";"1018525883";False;Danish Crown A/S SD Holsted;Energivej 5-7;"6670.0";Holsted;False;;;30/05 - 2013;;5-9;;"101110";Forarbejdning af svinekød;"55,5234272";"8,9110035";;55.523427200000000;8.911003500000000
"26121264";"1018775839";False;Holsted Produktion;Grindstedvej 2;"6670.0";Holsted;False;;;25/09 - 2013;;200-499;;"101190";Forarbejdning af andet kød;"55,525216";"8,906523";;55.525216000000000;8.906523000000000
"26121264";"1016497092";False;Danish Crown A/S;Svanningevej 1;"9220.0";Aalborg Øst;False;"89191919.0";dc@danishcrown.dk;10/12 - 2010;;100-199;;"101190";Forarbejdning af andet kød;"57,0369";"10,02457";;57.036900000000003;10.024570000000001
"26121264";"1017997676";False;Danish Crown A/S;Tulipvej 1;"8940.0";Randers SV;False;;;15/10 - 2012;;50-99;;"101110";Forarbejdning af svinekød;"56,41256";"10,06367";;56.412559999999999;10.063670000000000
"26121264";"1016497483";False;Danish Crown A/S;Østbirkvej 2;"8700.0";Horsens;False;"89191919.0";dc@danishcrown.dk;10/12 - 2010;;1000-999999;;"101110";Forarbejdning af svinekød;"55,916709";"9,82756";;55.916708999999997;9.827560000000000
"26121264";"1016497157";False;Danish Crown A/S;Wenbovej 9;"9300.0";Sæby;False;"89191919.0";dc@danishcrown.dk;10/12 - 2010;;500-999;;"101110";Forarbejdning af svinekød;"57,3322496";"10,5124545";;57.332249599999997;10.512454500000000
"26121264";"1016497149";False;Danish Crown A/S;Bragesvej 18;"4100.0";Ringsted;False;"89191919.0";dc@danishcrown.dk;10/12 - 2010;;500-999;;"101110";Forarbejdning af svinekød;"55,429278";"11,798537";;55.429277999999996;11.798537000000000
"26121264";"1016458798";False;Danish Crown A/S;Haslevej 19;"3700.0";Rønne;False;"89191919.0";;22/11 - 2010;;100-199;;"101110";Forarbejdning af svinekød;"55,112271";"14,70383";;55.112271000000000;14.703830000000000
"26121264";"1016459085";False;Danish Crown A/S;Danmarksgade 22;"7400.0";Herning;False;"89191919.0";dc@danishcrown.dk;22/11 - 2010;;500-999;;"101110";Forarbejdning af svinekød;"56,133382";"8,982235";;56.133381999999997;8.982234999999999
"26121264";"1016497165";False;Danish Crown A/S;Langbro 7;"6400.0";Sønderborg;False;"89191919.0";dc@danishcrown.dk;10/12 - 2010;;1000-999999;;"101110";Forarbejdning af svinekød;"54,981859";"9,654773";;54.981859000000000;9.654773000000000
"26121264";"1008535716";True;DANISH CROWN A/S;Marsvej 43;"8960.0";Randers SØ;False;"89191919.0";gth@danishcrown.dki;01/07 - 2001;;500-999;;"101110";Forarbejdning af svinekød;"56,43";"10,0598";;56.430000000000000;10.059799999999999
"26121264";"1023432966";False;DANISH CROWN A/S;Gammelby Ringvej 1;"6700.0";Esbjerg;True;"89191223.0";sumi@danishcrown.dk;14/09 - 2017;;2-4;;"101110";Forarbejdning af svinekød;"55,462987";"8,46148";;55.462986999999998;8.461480000000000
"26121264";"1016511869";False;Danish Crown A/S;Danmarksgade 22;"7400.0";Herning;False;"89191919.0";dc@danishcrown.dk;16/12 - 2010;;2-4;;"101190";Forarbejdning af andet kød;"56,133382";"8,982235";;56.133381999999997;8.982234999999999
"26121264";"1023342525";False;Group Procurement;Engelsholmvej 28;"8940.0";Randers SV;False;"89191123.0";sumi@danishcrown.dk;01/10 - 2017;;"1";;"101110";Forarbejdning af svinekød;"56,41591";"10,06879";;56.415909999999997;10.068790000000000
"26786576";"1017119059";False;TICAN FRESH MEAT ANSAGER A/S;Åvænget 9;"6823.0";Ansager;False;"99192330.0";tican@tican.dk;14/09 - 2011;31/12 - 2018;"0";;"101110";Forarbejdning af svinekød;"55,706985";"8,748688";;55.706985000000003;8.748688000000000
"26786576";"1011140358";False;TICAN PROCES A/S;Åvænget 9;"6823.0";Ansager;False;;;16/02 - 2005;16/02 - 2005;;;"151390";Kødforarbejdning i øvrigt;"55,706985";"8,748688";;55.706985000000003;8.748688000000000
"26786576";"1017119032";False;TICAN FRESH MEAT FJERRITSLEV A/S;Grønnegade 21;"9690.0";Fjerritslev;False;"99192330.0";tican@tican.dk;14/09 - 2011;31/10 - 2019;"0";;"101110";Forarbejdning af svinekød;"57,0874";"9,257848";;57.087400000000002;9.257847999999999
"26786576";"1017119075";False;TICAN FRESH MEAT VEJLE A/S;Skomagervej 11C;"7100.0";Vejle;False;"99192330.0";TICAN@TICAN.DK;14/09 - 2011;31/10 - 2019;2-4;;"101110";Forarbejdning af svinekød;"55,682405";"9,579956";;55.682405000000003;9.579955999999999
"26786576";"1009320225";True;TICAN FRESH MEAT THISTED A/S;Strandvejen 6;"7700.0";Thisted;False;"99192300.0";TICAN@TICAN.DK;18/09 - 2002;;500-999;;"101110";Forarbejdning af svinekød;"56,954275";"8,69977";;56.954275000000003;8.699769999999999
"26786576";"1024192039";False;"Tican Fresh Meat A/S, Brørup";Markedsvej 9;"6650.0";Brørup;True;"99192300.0";tican@tican.dk;01/01 - 2019;;200-499;;"101110";Forarbejdning af svinekød;"55,482877";"9,011014";;55.482877000000002;9.011013999999999
"39547430";"1023591738";True;Jensen's Slagtehus ApS;Rigtrupvej 44;"8370.0";Hadsten;True;"86491416.0";information@jensens-slagtehus.dk;07/05 - 2018;;;;"101110";Forarbejdning af svinekød;"56,36801";"10,18618";;56.368009999999998;10.186180000000000
"14641998";"1000777366";True;HØVE SLAGTERI;Høvevej 65;"4550.0";Asnæs;False;;;01/11 - 1990;;"0";Slagtermester Jan Lund;"101110";Forarbejdning af svinekød;"55,836033";"11,486765";;55.836033000000000;11.486765000000000
"14641998";"1013560656";False;Høve Slagteri Kød Engros;Høvevej 65;"4550.0";Asnæs;False;;;28/08 - 2007;;"0";;"101110";Forarbejdning af svinekød;"55,836033";"11,486765";;55.836033000000000;11.486765000000000
"41280158";"1025719774";True;Slagter Kristian Sand Olesen;Brandevej 24;"7430.0";Ikast;True;;ks.olesen@hotmail.com;13/04 - 2020;;;;"101110";Forarbejdning af svinekød;"56,075891";"9,145044";;56.075890999999999;9.145044000000000
"21942677";"1006345209";True;Jensens Slagtehus Morten Enggrob Jensen;Rigtrupvej 44;"8370.0";Hadsten;False;;information@jensens-slagtehus.dk;01/09 - 1999;;2-4;;"101110";Forarbejdning af svinekød;"56,36801";"10,18618";;56.368009999999998;10.186180000000000
"28649398";"1011531276";True;Smedegård v/ John Kristian Jensen;Kytterupvej 11;"6990.0";Ulfborg;False;;;18/07 - 2005;;"0";;"101110";Forarbejdning af svinekød;"56,3019656";"8,3372115";;56.301965600000003;8.337211500000000
"36590696";"1020368930";True;Sæby Gårdslagteri I/S;Ålborgvej 108;"9300.0";Sæby;True;"60443804.0";kontakt@saebygaardslagteri.dk;01/05 - 2015;;"0";;"101110";Forarbejdning af svinekød;"57,319789";"10,474976";;57.319789000000000;10.474976000000000
"40690484";"1024912236";True;Den tørrede gris;St. Ladegårdsvej 8;"4180.0";Sorø;True;"23262216.0";Skovgrisen@gmail.com;08/08 - 2019;;;Niels Bjerregård Pedersen;"101110";Forarbejdning af svinekød;"55,41963";"11,614354";;55.419629999999998;11.614354000000001
"38119362";"1021863153";True;Riberholdt Consulting;Hvalfisken 11;"7500.0";Holstebro;True;"30142120.0";idomlund@gmail.com;19/10 - 2016;;"0";;"101110";Forarbejdning af svinekød;"56,367858";"8,666986";;56.367857999999998;8.666986000000000
"30267699";"1013067070";True;Ulfborg Slagteri v/Per O Nielsen;Industriarealet 40;"6990.0";Ulfborg;False;"97492200.0";;01/04 - 2007;;"1";;"101110";Forarbejdning af svinekød;"56,26132";"8,31914";;56.261319999999998;8.319140000000001
"35909737";"1019567547";True;Ømands I/S;Sønder Vilstrup Bygade 1B;"6100.0";Haderslev;False;;aungstrup@gmail.com;18/07 - 2014;;"0";;"101110";Forarbejdning af svinekød;"55,191685";"9,516777";;55.191685000000000;9.516776999999999
"32572154";"1015694293";True;Hjemmeslagter Martin Jørgensen;Harres 4;"6261.0";Bredebro;False;"73710044.0";martinhjemmeslagter@sol.dk;01/12 - 2009;;"0";;"101110";Forarbejdning af svinekød;"55,057086";"8,780033";;55.057085999999998;8.780033000000000
"27302165";"1010043448";True;Grenaa Slagtehus I/S v/Tage Sehested Severinsen og Peder Bertelsen;Tempovej 18;"8500.0";Grenaa;False;"86327032.0";mail@grenaaslagtehus.dk;01/09 - 2003;;5-9;Peder Bertelsen;"101110";Forarbejdning af svinekød;"56,422701";"10,902901";;56.422701000000004;10.902901000000000
"35696032";"1019284944";True;Concepcion Pimentel Schallert;Auningvej 3;"8963.0";Auning;True;;concepcionp3@rougsoes.net;01/01 - 2014;;"0";;"101110";Forarbejdning af svinekød;"56,44901";"10,40623";;56.449010000000001;10.406230000000001
"26669170";"1009181136";True;Selskabet af 01.01.2002 ApS;Industrivej 17D;"4490.0";Jerslev Sjælland;False;"59596200.0";berit@hvidebaek-slagteri.dk;01/01 - 2002;;2-4;;"101110";Forarbejdning af svinekød;"55,6139471";"11,2163612";;55.613947099999997;11.216361200000000
"30647653";"1023017551";False;Sties Multiservice;Koldingvej 27;"4200.0";Slagelse;True;;leslie.stie@gmail.com;01/11 - 2017;08/08 - 2018;;;"101110";Forarbejdning af svinekød;"55,417668";"11,356952";;55.417667999999999;11.356952000000000
"30647653";"1019390442";False;LS Service v/Leslie Stie;"Kierulffsvej 36, 03. th.";"4200.0";Slagelse;True;"21722212.0";leslie.stie@gmail.com;01/06 - 2014;28/02 - 2015;;Leslie Stie;"773200";Udlejning og leasing af entreprenørmateriel;"55,41509";"11,35534";;55.415089999999999;11.355340000000000
"30647653";"1013462506";False;LS-Montage /Leslie Helleskov Stie;Koldingvej 27;"4200.0";Slagelse;False;"21722212.0";;01/06 - 2007;30/06 - 2011;;;"952900";Reparation af andre varer til personligt brug og husholdningsbrug;"55,417668";"11,356952";;55.417667999999999;11.356952000000000
"30647653";"1026253132";False;Råmose Friland;Nyrupvej 2;"4200.0";Slagelse;True;;raamosefriland@outlook.dk;01/08 - 2020;;;;"14620";Produktion af slagtesvin;"55,2509853";"11,4786566";;55.250985300000004;11.478656600000001
"28364733";"1011142113";False;Brian Hald Thrane;Puggårdsvej 76;"6771.0";Gredstedbro;False;;;21/02 - 2005;15/09 - 2006;;;"151390";Kødforarbejdning i øvrigt;"55,42718";"8,8";;55.427180000000000;8.800000000000001
"28364733";"1014894620";True;Mobil Hjemmeslagt v/Brian Hald Thrane;Stationsvej 8;"6600.0";Vejen;False;"42390960.0";;01/12 - 2008;31/12 - 2012;;;"101110";Forarbejdning af svinekød;"55,47014";"9,238377";;55.470140000000001;9.238377000000000
"35765417";"1019379384";True;Håsum Chacuteri;Landevejen 28;"7860.0";Spøttrup;False;;ulriklajgaard@gmail.com;02/05 - 2014;31/05 - 2015;;Ulrik Lajgaard;"101110";Forarbejdning af svinekød;"56,57764";"8,84833";;56.577640000000002;8.848330000000001
"35099417";"1018534998";True;Sindal Slagtehus;Nejstvej 99;"9870.0";Sindal;False;;info@sindalslagtehus.dk;01/07 - 2013;31/12 - 2017;"0";;"101110";Forarbejdning af svinekød;"57,4818512";"10,2418538";;57.481851200000001;10.241853799999999
"16860808";"1001173232";True;CARL HERSE;Rævekærvej 4;"6230.0";Rødekro;False;"74698121.0";;01/04 - 1993;30/06 - 2009;"0";;"101110";Forarbejdning af svinekød;"55,12558";"9,37579";;55.125579999999999;9.375790000000000
"25006267";"1007206433";True;Hvam Slagterhus I/S;Gl. Viborgvej 86;"9620.0";Aalestrup;False;"98648003.0";;11/10 - 1999;19/11 - 2017;2-4;;"101110";Forarbejdning af svinekød;"56,657596";"9,5110209";;56.657595999999998;9.511020900000000
"38998455";"1001774748";True;AIDT SLAGTEHUS V/DANNIE TOM JØRGENSEN;Bavnehøjvej 1;"8881.0";Thorsø;False;"86966943.0";;01/02 - 1987;31/12 - 2010;"0";;"101110";Forarbejdning af svinekød;"56,31174";"9,80635";;56.311740000000000;9.806350000000000
"30475135";"1013368976";True;Jørgen Olsen;Elmekrogen 4;"3200.0";Helsinge;False;"21629620.0";jio@postil.tele.dk;01/08 - 2007;31/12 - 2009;;;"101110";Forarbejdning af svinekød;"56,019965";"12,185724";;56.019964999999999;12.185724000000000
"13069948";"1005556856";False;HANDELSFIRMA TONI ABRAHAMSEN;"4";"9999.0";Ukendt;False;;;01/04 - 1985;31/01 - 1998;;;"980000";Uoplyst;"55,68668";"12,52473";;55.686680000000003;12.524730000000000
"13069948";"1004399491";True;Tonis Slagterhus v/Toni Abrahamsen;Stenagervej 4;"6240.0";Løgumkloster;True;;;01/02 - 1998;28/02 - 2018;2-4;;"101110";Forarbejdning af svinekød;"55,0812";"9,10019";;55.081200000000003;9.100190000000000
"32792162";"1015952039";True;Norwest Foods International ltd;Nygade 5-7;"9760.0";Vrå;False;"96248500.0";ces@d-m-c.dk;06/04 - 2010;30/09 - 2010;;Danish Meat CompanyA/S C.Sørensen;"101110";Forarbejdning af svinekød;"57,3541415";"9,9482124";;57.354141499999997;9.948212399999999
"33432550";"1016689706";True;KS Kød I/S;Hvamvej 23;"7500.0";Holstebro;False;"40102617.0";;01/04 - 2011;30/09 - 2012;"0";;"101110";Forarbejdning af svinekød;"56,409374";"8,730635";;56.409374000000000;8.730634999999999
"15085681";"1005700071";True;SLAGTERISELSKABET DANISH CROWN AMBA SVINEDIVISION NORD;Østergade 8;"8850.0";Bjerringbro;False;;;01/04 - 1991;06/07 - 2010;;;"101110";Forarbejdning af svinekød;"56,375179";"9,661068";;56.375179000000003;9.661068000000000
"25208897";"1021329831";True;Morsø Slagteri;Food Parken 3;"7900.0";Nykøbing M;False;;;25/02 - 2016;23/03 - 2018;"0";;"101110";Forarbejdning af svinekød;"56,82058";"8,78616";;56.820580000000000;8.786160000000001
"25208897";"1007423191";False;Hanen;Slettestrandvej 148;"9690.0";Fjerritslev;False;"97769799.0";morsslh@gmail.com;15/02 - 2000;01/08 - 2014;2-4;;"561010";Restauranter;"57,15298";"9,36415";;57.152979999999999;9.364150000000000
"25208897";"1014765960";False;Strandcafeen;Slettestrandvej 148;"9690.0";Fjerritslev;False;"97769799.0";morsslh@gmail.com;30/09 - 2008;01/08 - 2014;"0";;"561010";Restauranter;"57,15298";"9,36415";;57.152979999999999;9.364150000000000
"25208897";"1017153648";False;Morsø Slagteri;Food Parken 3;"7900.0";Nykøbing M;False;"97769799.0";morsslh@gmail.com;27/09 - 2011;18/02 - 2016;"0";Østergade 63 9690 Fjerritslev;"561010";Restauranter;"56,82058";"8,78616";;56.820580000000000;8.786160000000001
"35786171";"1019468786";True;Sæby Gårdslagteri;Hasselvej 2;"9300.0";Sæby;False;"60443804.0";logt@email.dk;01/06 - 2014;30/06 - 2020;"0";;"101110";Forarbejdning af svinekød;"57,324578";"10,489376";;57.324578000000002;10.489376000000000
"29139725";"1011751179";True;DANISH MEAT COMPANY A/S;Nygade 5-7;"9760.0";Vrå;False;"96248500.0";lunden@asdal.dk;12/10 - 2005;11/12 - 2012;100-199;;"101110";Forarbejdning af svinekød;"57,3541415";"9,9482124";;57.354141499999997;9.948212399999999
"10130816";"1009669333";True;MORSØ SLAGTERI OG KØDENGROS ApS;Food Parken 3;"7900.0";Nykøbing M;False;"97720074.0";;31/01 - 2003;03/07 - 2013;10-19;;"101110";Forarbejdning af svinekød;"56,82058";"8,78616";;56.820580000000000;8.786160000000001
"32664601";"1015740449";True;AKTIESELSKABET AF 28. DECEMBER 2009;Store Kongensgade 69;"1264.0";København K;False;;;28/12 - 2009;22/06 - 2012;;"Mazanti-Andersen, Korsø Jensen &amp";"101110";Forarbejdning af svinekød;"55,684946";"12,588052";;55.684945999999997;12.588051999999999
"31067693";"1013797621";True;VESTFYENS SLAGTEHUS ApS;Industrivej 2;"5592.0";Ejby;False;"86255256.0";;22/11 - 2007;26/04 - 2012;;;"101110";Forarbejdning af svinekød;"55,440784";"9,944566";;55.440784000000001;9.944566000000000
"14417176";"1000739803";True;GUDME PRIVATSLAGTERI ApS;Teglværksvej 89;"5884.0";Gudme;False;"62251081.0";johnf@nielsen.mail.dk;01/08 - 1990;11/07 - 2017;"1";;"101110";Forarbejdning af svinekød;"55,155059";"10,701835";;55.155059000000001;10.701835000000001
"20958472";"1003029226";True;SKOVGAARD'S SLAGTERI OG KØDOPSKÆRING A/S;Industrivej 7;"5750.0";Ringe;False;"62621096.0";;02/09 - 1968;16/11 - 2012;"0";;"101110";Forarbejdning af svinekød;"55,24836";"10,486534";;55.248359999999998;10.486534000000001
"20958472";"1006234479";False;SKOVGAARD'S SLAGTERI OG KØDOPSKÆRING A/S;"7";"9999.0";Ukendt;False;;;17/06 - 1998;31/07 - 1998;;;"980000";Uoplyst;"55,55915";"9,73551";;55.559150000000002;9.735510000000000
"30812271";"1013568673";True;MOESGAARD MEAT A/S;Naurvej 17;"7500.0";Holstebro;False;"97432326.0";;24/08 - 2007;16/11 - 2015;"0";;"101110";Forarbejdning af svinekød;"56,3904774";"8,5272974";;56.390477400000002;8.527297400000000
"10112613";"1009643466";True;"TAGMOSES SLAGTEHUS, TISTRUP ApS";Frejasvej 13;"6862.0";Tistrup;False;"75292172.0";;01/01 - 2003;21/12 - 2009;5-9;;"101110";Forarbejdning af svinekød;"55,71046";"8,60454";;55.710459999999998;8.604540000000000
"86555816";"1009405875";False;SKARRESØ PRIVATSLAGTERI A/S;Holbækvej 328;"4440.0";Mørkøv;False;;;01/01 - 2001;01/05 - 2005;"0";;"513200";Engroshandel med kød og kødprodukter;"55,663961";"11,552862";;55.663961000000000;11.552861999999999
"86555816";"1003215414";True;SKARRESØ PRIVATSLAGTERI A/S;Bødkervej 1;"4450.0";Jyderup;False;"59277200.0";;01/10 - 1992;19/06 - 2014;"0";;"101110";Forarbejdning af svinekød;"55,648706";"11,431216";;55.648705999999997;11.431215999999999
